Site,FLOW CELL #,SAMPLE SET,SAMPLE #,Barcode,Group,ISB ID
ISB Aquaponics samples,FAF19229,T0,1,1,ISB_1_12,T0B
ISB Aquaponics samples,FAF19229,T0,2,2,ISB_1_12,T0Comm
ISB Aquaponics samples,FAF19229,T0,3,3,ISB_1_12,T0F1
ISB Aquaponics samples,FAF19229,T0,4,4,ISB_1_12,T0F2
ISB Aquaponics samples,FAF19229,T0,5,5,ISB_1_12,T0F3
ISB Aquaponics samples,FAF19229,T0,6,6,ISB_1_12,T0F4
ISB Aquaponics samples,FAF19229,T0,7,7,ISB_1_12,T0F5
ISB Aquaponics samples,FAF19229,T0,8,8,ISB_1_12,T0F6
ISB Aquaponics samples,FAF19229,T0,9,9,ISB_1_12,T0RW
ISB Aquaponics samples,FAF19229,T1,10,10,ISB_1_12,T1B1
ISB Aquaponics samples,FAF19229,T1,11,11,ISB_1_12,T1B2
ISB Aquaponics samples,FAF19229,T1,12,12,ISB_1_12,T1B3
ISB Aquaponics samples,FAH29333,T1,13,1,ISB_13_22,T1B4
ISB Aquaponics samples,FAH29333,T1,14,2,ISB_13_22,T1B5
ISB Aquaponics samples,FAH29333,T1,15,3,ISB_13_22,T1B6
ISB Aquaponics samples,FAH29333,T2,16,4,ISB_13_22,T2B1
ISB Aquaponics samples,FAH29333,T2,17,5,ISB_13_22,T2B2
ISB Aquaponics samples,FAH29333,T2,18,6,ISB_13_22,T2B3
ISB Aquaponics samples,FAH29333,T2,19,7,ISB_13_22,T2B4
ISB Aquaponics samples,FAH29333,T2,20,8,ISB_13_22,T2B5
ISB Aquaponics samples,FAH29333,T2,21,9,ISB_13_22,T2B6
ISB Aquaponics samples,FAH29333,T2,22,10,ISB_13_22,T2R1
ISB Aquaponics samples,FAE32133,T2,23,8,ISB_23_27,T2R2
ISB Aquaponics samples,FAE32133,T2,24,9,ISB_23_27,T2R3
ISB Aquaponics samples,FAE32133,T2,25,10,ISB_23_27,T2R4
ISB Aquaponics samples,FAE32133,T2,26,11,ISB_23_27,T2R5
ISB Aquaponics samples,FAE32133,T2,27,12,ISB_23_27,T2R6
