id,kingdom,phylum,class,order,family,genus,species,counts,effective_length,sample
AB093490.1.1442,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Desmonostoc PCC-7422,Nostoc entophytum IAM M-267,120,1,T0B
AB106864.1.1460,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter polyaromaticivorans,1,1,T0B
AB179671.1.1411,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured bacterium,1,1,T0B
AB240497.1.1445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,1,1,T0B
AB257631.1.1462,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aliihoeflea,uncultured alpha proteobacterium,2,1,T0B
AB257632.1.1537,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,uncultured gamma proteobacterium,2,1,T0B
AB286642.1.1400,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,uncultured,uncultured bacterium,1,1,T0B
AB491827.1.1473,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured diatom,,,32,1,T0B
AB491970.1.1525,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Noviherbaspirillum,uncultured beta proteobacterium,1,1,T0B
AB496407.1.1474,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. S22202a,1,1,T0B
AB542379.1.1389,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp. TSA13,4,1,T0B
AB552895.1.1366,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter sp. C6a,2,1,T0B
AB552903.1.1489,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,uncultured bacterium,5,1,T0B
