tank,date,water temperature,nitrate,nitrite,hardness,chlorine,alkalinity,ammonia,pH,conductivity (uS/cm),total fish food,water modifications,water added (L),greenhouse_temp,greenhouse_humidity,notes
1,6/28/17,21.6,5,0,70,0,0,0,7.591,475,20,Added 30mL MicrobeLift commercial bacteria to biofilter and 2 pink tilapia (22cm and 22.5cm),,42.1,20,
1,6/30/17,22.8,0,0,100,0,0,0,7.7,460,20,"Added 4L aerated, dechlorinated tap H2O",4,43.8,14,
1,7/3/17,22.1,0,0,100,0,0,0.25,7.73,480,20,"Added 8L aerated, dechlorinated tap H2O and 45g Instant Ocean; water level high",8,33.3,34,
1,7/5/17,18.8,0,0,125,0,0,0.5,7.74,830,20,"Added 4L aerated, dechlorinated tap H2O; water level still high but stable",4,19.9,64,Collected at 9:16am
1,7/7/17,20.1,0,0,200,0,0,0.5,7.79,830,20,"Added 4L aerated, dechlorinated tap water",4,20.6,61,"Collected at 9:00am. Had to restart siphon. Tank 1 has less waste than the other tanks. Added 1L aerated, dechlorinated tap water to each plant tray."
1,7/8/17,19.8,0,0,200,0,20,0,7.75,810,20,None,,18.7,67,"Fish mostly at the bottom back of tank, same as yesterday. Collected at 8:30am"
1,7/10/17,20.9,0,0,150,0,0,0.5,7.74,840,20,"Added 4L aerated, dechlorinated tap water ",4,23.4,59,"Collected at 9:00am. Waste bucket cleaner than most, but there is some waste floating int he tank. Fish still mostly at bottom back of tank. Pump was disconnected; had to reconnect. After adding water, when we left the water level int he tank was till around 1 inch below the line. It was not sunny today. "
1,7/12/17,19,0,0,150,0,0,0.5,7.76,820,20,"Added 4L aerated, dechlorinated tap water",4,21.1,65,"Water level still around 1 inch low but stable. Fish very active today-- possibly because of the lower temperature elading to increased dissolved oxygen in the water. One fish more active than the other, and nipping at the other with its mouth open. Tank water clearer than on Monday. More active fish has dorsal fin extended; other ahs it collapsed. Added 2L aerated dechloinated tap water with 0.75 mL dissolved plant nutrients fivided between the plant grow trays. Collected fish waste (35 mL total, around 2.5mL waste)with syrlogical pipette. Waste from Tank 1 had a small redworm "
1,7/14/17,18.3,0,0,150,0,0,0.5,7.69,830,20,"Added 4L aerated, dechlorinated tap water",4,18.2,65,"Water levels still low (about 1 inch), but stable. Fish active, but not as active as Wednesday. After feeding they became more active, and one fish is still eating more than the other and nipping at the less active one. It was sunny today, and we collected data at 9:00am. "
1,7/16/17,19.6,0,0,150,0,0,0.2,7.86,770,20,None,,19.5,61,"Average levels of fish activity. Added 1L aerated, dechlorinated tap water to each plant tray, with .75mL plant nutrients dissolved per 2L water."
