tank,sample,date,no_leaves,no_leaves_avg,lux_growbed,notes,diseases,height,height_avg,root_length_avg
1,A,2017-07-24,6,NA,NA,NA,green,2.5,NA,NA
1,A,2017-07-26,6,NA,NA,NA,none,2.3,NA,NA
1,A,2017-07-28,7,NA,NA,NA,none,2.4,NA,NA
1,A,2017-07-30,7,NA,NA,NA,none,3.2,NA,NA
1,A,2017-07-31,8,NA,NA,NA,none,3,NA,NA
1,A,2017-08-02,7,NA,NA,NA,stopped straightening leaves,3,NA,NA
1,A,2017-08-05,8,NA,NA,NA,none,3.5,NA,NA
1,A,2017-08-07,NA,NA,NA,NA,none,4.4,NA,NA
1,A,2017-08-09,9,NA,NA,NA,1 dead cot + leaf,4.9,NA,NA
1,A,2017-08-11,11,NA,NA,NA,2 dead cots,5.5,NA,NA
1,A,2017-08-12,9,NA,NA,NA,2 leaves browning,6.1,NA,NA
1,A,2017-08-14,10,NA,NA,NA,1 dead cot,5.5,NA,NA
1,A,2017-08-16,NA,NA,NA,NA,NA,NA,NA,NA
1,A,2017-08-18,NA,NA,NA,NA,NA,NA,NA,NA
1,A,2017-08-21,NA,NA,NA,NA,NA,NA,NA,NA
1,A,2017-08-23,NA,NA,NA,NA,NA,NA,NA,NA
1,A,2017-08-25,NA,NA,NA,NA,NA,NA,NA,NA
1,A,2017-08-28,NA,NA,NA,NA,NA,NA,NA,NA
1,B,2017-07-24,4,NA,NA,NA,purple,0.8,NA,NA
1,B,2017-07-26,4,NA,NA,NA,none,0.8,NA,NA
1,B,2017-07-28,5,NA,NA,NA,none,0.9,NA,NA
1,B,2017-07-30,5,NA,NA,NA,rock wool cube highest,2,NA,NA
1,B,2017-07-31,6,NA,NA,NA,none,1.9,NA,NA
1,B,2017-08-02,6,NA,NA,NA,stopped straightening leaves,1.8,NA,NA
1,B,2017-08-05,7,NA,NA,NA,none,2.6,NA,NA
1,B,2017-08-07,NA,NA,NA,NA,none,3.1,NA,NA
1,B,2017-08-09,7,NA,NA,NA,1 brown cot,4.1,NA,NA
1,B,2017-08-11,8,NA,NA,NA,none,6,NA,NA
1,B,2017-08-12,8,NA,NA,NA,None,5.8,NA,NA
1,B,2017-08-14,8,NA,NA,NA,1 brown string,5.6,NA,NA
1,B,2017-08-16,NA,NA,NA,NA,NA,NA,NA,NA
1,B,2017-08-18,NA,NA,NA,NA,NA,NA,NA,NA
1,B,2017-08-21,NA,NA,NA,NA,NA,NA,NA,NA
1,B,2017-08-23,NA,NA,NA,NA,NA,NA,NA,NA
1,B,2017-08-25,NA,NA,NA,NA,NA,NA,NA,NA
1,B,2017-08-28,NA,NA,NA,NA,NA,NA,NA,NA
1,C,2017-07-24,5,NA,NA,NA,purple,2.4,NA,NA
1,C,2017-07-26,5,NA,NA,NA,none,2.8,NA,NA
1,C,2017-07-28,6,NA,NA,NA,none,3.6,NA,NA
1,C,2017-07-30,7,NA,NA,NA,none,3.9,NA,NA
1,C,2017-07-31,7,NA,NA,NA,none,4.4,NA,NA
1,C,2017-08-02,8,NA,NA,NA,stopped straightening leaves,4.8,NA,NA
1,C,2017-08-05,9,NA,NA,NA,none,5,NA,NA
1,C,2017-08-07,NA,NA,NA,NA,none,5.3,NA,NA
1,C,2017-08-09,8,NA,NA,NA,tip of 2 leaves = brown,6.1,NA,NA
1,C,2017-08-11,9,NA,NA,NA,none,7,NA,NA
1,C,2017-08-12,8,NA,NA,NA,One branch fell on growbed/whtie syrofoam part,9.1,NA,NA
1,C,2017-08-14,7,NA,NA,NA,NA,6.5,NA,NA
1,C,2017-08-16,NA,NA,NA,NA,NA,NA,NA,NA
1,C,2017-08-18,NA,NA,NA,NA,NA,NA,NA,NA
1,C,2017-08-21,NA,NA,NA,NA,Smallest red variety - 7cm,NA,NA,NA
1,C,2017-08-23,NA,NA,NA,NA,NA,NA,NA,NA
1,C,2017-08-25,NA,NA,NA,NA,NA,NA,NA,NA
1,C,2017-08-28,NA,NA,NA,NA,NA,NA,NA,NA
1,D,2017-07-24,5,NA,NA,NA,purple,2.3,NA,NA
1,D,2017-07-26,5,NA,NA,NA,none,2.3,NA,NA
1,D,2017-07-28,5,NA,NA,NA,none,2,NA,NA
1,D,2017-07-30,7,NA,NA,NA,none,3.9,NA,NA
1,D,2017-07-31,7,NA,NA,NA,none,3,NA,NA
1,D,2017-08-02,7,NA,NA,NA,stopped straightening leaves,3.2,NA,NA
1,D,2017-08-05,8,NA,NA,NA,none,3.3,NA,NA
1,D,2017-08-07,NA,NA,NA,NA,none,5.5,NA,NA
1,D,2017-08-09,7,NA,NA,NA,none,6.1,NA,NA
1,D,2017-08-11,8,NA,NA,NA,tilted leaves,5,NA,NA
1,D,2017-08-12,9,NA,NA,NA,None,5.1,NA,NA
1,D,2017-08-14,10,NA,NA,NA,NA,5.5,NA,NA
1,D,2017-08-16,NA,NA,NA,NA,NA,NA,NA,NA
1,D,2017-08-18,NA,NA,NA,NA,NA,NA,NA,NA
1,D,2017-08-21,NA,NA,NA,NA,NA,NA,NA,NA
1,D,2017-08-23,NA,NA,NA,NA,NA,NA,NA,NA
1,D,2017-08-25,NA,NA,NA,NA,NA,NA,NA,NA
1,D,2017-08-28,NA,NA,NA,NA,NA,NA,NA,NA
1,E,2017-07-24,5,NA,NA,NA,green,2.2,NA,NA
1,E,2017-07-26,4,NA,NA,NA,none,2,NA,NA
1,E,2017-07-28,5,NA,NA,NA,none,2.2,NA,NA
1,E,2017-07-30,5,NA,NA,NA,cot yellowing,3.2,NA,NA
1,E,2017-07-31,6,NA,NA,NA,none,4,NA,NA
1,E,2017-08-02,8,NA,NA,NA,stopped straightening leaves,4.2,NA,NA
1,E,2017-08-05,8,NA,NA,NA,none,3.7,NA,NA
1,E,2017-08-07,NA,NA,NA,NA,white flies,5.1,NA,NA
1,E,2017-08-09,8,NA,NA,NA,none,6.6,NA,NA
1,E,2017-08-11,10,NA,NA,NA,none,5.5,NA,NA
1,E,2017-08-12,12,NA,NA,NA,2 edges were browning,5.1,NA,NA
1,E,2017-08-14,16,NA,NA,NA,Very green,5.3,NA,NA
1,E,2017-08-16,NA,NA,NA,NA,NA,NA,NA,NA
